329,691,708,656,922,931
330,693,543,363,860,378
331,0,1,2,3,4
332,653,260,81,152,797
333,77,13,89,134,290
334,721,650,393,867,561
335,177,551,497,707,221
336,898,723,84,746,271
337,292,528,507,939,247
338,90,649,568,850,50
339,302,977,988,773,443
340,0,1,2,3,4
341,350,876,799,270,526
342,175,262,703,714,829
343,687,148,833,587,835
344,678,757,786,591,0
345,745,626,484,150,720
346,1013,933,796,625,409
347,57,981,841,781,635
348,557,150,407,1021,131
349,644,131,180,604,138
350,876,341,526,240,799
351,856,107,451,44,809
352,38,816,312,829,603
353,761,192,276,233,476
354,1038,975,21,423,366
355,734,586,884,327,783
356,568,290,812,77,20
357,0,1,2,3,4
358,867,393,650,839,298
359,824,451,183,1022,219
360,96,646,164,434,81
361,979,309,221,125,765
362,834,564,609,728,336
363,1021,667,371,889,330
364,705,955,896,473,121
365,196,958,692,165,547
366,506,234,855,347,151
367,288,497,528,177,125
368,288,177,367,181,335
369,310,411,894,558,235
370,517,9,749,135,167
371,377,182,883,590,972
372,821,79,747,297,349
373,801,326,312,949,96
374,13,993,983,812,735
375,225,543,97,367,335
376,977,128,679,674,214
377,371,590,972,883,618
378,17,66,648,515,546
379,635,916,383,57,948
380,738,391,757,644,786
381,755,992,703,782,296
382,947,169,854,674,532
383,781,635,379,347,1033
384,749,9,890,793,1040
385,402,548,312,96,625
386,556,139,1028,868,884
387,377,371,754,696,529
388,0,1,2,3,4
389,525,419,394,539,823
390,460,486,117,180,327
391,999,591,786,225,949
392,163,790,274,981,194
393,721,946,839,867,775
394,419,448,525,474,232
395,229,655,221,643,793
396,219,581,878,843,271
397,692,533,165,365,660
398,648,98,627,277,162
399,260,996,961,410,373
400,0,1,2,3,4
401,669,92,320,244,1000
402,385,676,625,1026,856
403,51,165,36,686,532
404,738,683,123,74,167
405,951,285,709,689,99
406,1036,424,614,301,881
407,348,137,423,492,378
408,0,1,2,3,4
409,1013,515,551,933,629
410,3,518,872,267,57
411,57,369,817,435,635
412,1015,86,627,286,984
413,898,537,918,29,829
414,8,937,131,1017,944
415,30,1029,927,588,17
416,501,312,379,459,190
417,963,146,277,784,806
418,270,1031,850,506,91
419,474,394,448,649,389
420,203,207,603,829,16
421,13,560,120,622,655
422,15,7,209,319,831
423,452,354,1038,407,932
424,1036,12,297,595,440
425,254,210,588,267,533
426,249,841,0,1,2
427,579,470,122,782,495
428,88,678,396,881,1006
429,126,308,670,535,254
430,860,507,391,647,476
431,56,472,2,777,253
432,155,135,10,328,472
433,741,878,296,732,59
434,747,47,756,595,301
435,633,863,623,817,67
436,312,801,220,961,936
437,648,681,986,273,398
438,634,270,783,865,998
439,691,656,995,922,54
440,612,424,728,313,509
441,291,831,112,72,7
442,728,343,826,292,630
443,896,339,876,852,660
444,963,11,191,409,77
445,877,77,550,50,493
446,938,113,621,563,606
447,689,77,25,165,487
448,394,419,474,232,896
449,950,676,756,730,665
450,666,827,1040,502,657
451,634,351,219,856,1022
452,932,423,354,1038,254
453,47,434,747,320,297
454,595,17,154,378,434
455,931,868,962,565,679
456,724,730,756,961,287
457,0,1,2,3,4
458,0,1,2,3,4
459,23,141,462,785,640
460,390,486,117,1021,327
461,57,817,533,936,25
462,459,785,23,141,750
463,956,747,461,198,47
464,665,286,10,164,256
465,839,393,775,886,942
466,93,945,888,283,995
467,723,485,221,245,410
468,258,531,733,800,742
469,680,853,649,474,419
470,427,579,495,122,782
471,30,1036,313,875,257
472,56,253,531,777,759
473,161,874,269,1036,224
474,539,419,394,448,649
475,914,766,409,821,933
476,233,647,602,276,192
477,1031,341,876,167,517
478,304,554,612,669,64
479,98,0,1,2,3
480,629,748,756,894,621
481,621,783,938,446,438
482,976,877,493,1025,445
483,27,159,1036,283,174
